Rank,Country,Name,Sport,Gender,Results
26,ARG,Virginia Bardach,Swimming 200M,Female,
1,CHN,Yanmei Ciang,Weightlifting 69KG,Female,261
2,KAZ,Zhazira Zhapparkul,Weightlifting 69KG,Female,259
3,EGY,Sara Ahmen,Weightlifting 69KG,Female,255
4,COL,Ledy Yessenia,Weightlifting 69KG,Female,253
5,ARM,Nazik Avdalyn,Weightlifting 69KG,Female,242
6,BLR,Darya Pachabut,Weightlifting 69KG,Female,237
7,ECU,Neisi Patricia,Weightlifting 69KG,Female,237
8,MGL,Ankhteseg Munkhanstan,Weightlifting 69KG,Female,237
9,CAN,Marie Nadeau,Weightlifting 69KG,Female,228
10,GBR,Rebekah Tiler,Weightlifting 69KG,Female,227
11,FIJ,Apolionia Vaivai ,Weightlifting 69KG,Female,201
12,TUR,Duygi Aynaci,Weightlifting 69KG,Female,200
13,TKM,Gulnabat,Weightlifting 69KG,Female,195
14,CMR,Arcangeline Foudji,Weightlifting 69KG,Female,189
1,CHN,Zhiyong Shi,Weightlifting 69KG,Male,352
2,TUR,Daniyar Ismayilov,Weightlifting 69KG,Male,351
3,COL,Luis Javier,Weightlifting 69KG,Male,338
4,MEX,Bredni Roque,Weightlifting 69KG,Male,326
5,ALB,Briken Calja,Weightlifting 69KG,Male,326
6,MDA,Serghei Cechir,Weightlifting 69KG,Male,322
7,FRA,Bernardin Ledoux,Weightlifting 69KG,Male,320
8,KOR,Jeongsik Won,Weightlifting 69KG,Male,320
9,INA,Triyatno,Weightlifting 69KG,Male,317
10,ESP,David Lopez,Weightlifting 69KG,Male,317
11,THA,Tairat Bunsuk,Weightlifting 69KG,Male,316
12,MAS,Hafifi Bin,Weightlifting 69KG,Male,316
13,PRK,Yong Gwang,Weightlifting 69KG,Male,313
14,UZB,Doston Yokubov,Weightlifting 69KG,Male,313
15,COL,Edwin Roa,Weightlifting 69KG,Male,310
16,KSA,Mohsen Al,Weightlifting 69KG,Male,297
17,TPE,Chein Pan,Weightlifting 69KG,Male,296
